# Model,FBP,BGP,MarginalLogLikSum,MarginalLogLikSMC
4,0.100443,0.100443,-10139.256397, -10369.007103
4,0.062734,0.062734,-10258.800568, -10791.443794
4,0.009468,0.009468,-10964.056405, -12012.328867
4,0.048337,0.048337,-10118.538955, -10587.958465
4,0.019106,0.019106,-10372.107084, -11103.501376
4,0.047650,0.047650,-9906.570699, -10596.801914
4,0.161558,0.161558,-10780.598822, -10921.116366
4,0.178996,0.178996,-10970.531531, -11122.637099
4,0.008645,0.008645,-11377.347552, -12105.736906
4,0.060389,0.060389,-9886.858065, -10539.886874
4,0.196116,0.196116,-11145.479253, -11268.264645
4,0.107901,0.107901,-10130.020702, -10345.785365
4,0.125262,0.125262,-10364.697789, -10639.917302
4,0.001109,0.001109,-13174.421758, -14915.437388
4,0.096982,0.096982,-10138.450037, -10526.138225
4,0.197666,0.197666,-11135.259141, -11256.944884
4,0.075037,0.075037,-10058.868335, -10387.106984
4,0.019408,0.019408,-10360.552433, -11283.440070
4,0.092382,0.092382,-10251.946916, -10459.556047
4,0.192601,0.192601,-11048.075966, -11207.663061
4,0.068366,0.068366,-9952.405806, -10322.930869
4,0.159785,0.159785,-10691.074435, -10959.375738
4,0.159769,0.159769,-10678.078609, -10925.590820
4,0.041650,0.041650,-9941.038538, -10349.585460
4,0.088674,0.088674,-10138.034390, -10420.120811
4,0.143120,0.143120,-10444.410065, -10673.659424
4,0.082104,0.082104,-9958.454996, -10236.776538
4,0.038201,0.038201,-9970.819970, -10611.442930
4,0.193499,0.193499,-11037.615075, -11168.789719
5,0.183679,0.183679,-11099.317523, -11255.720506
5,0.018259,0.018259,-10426.712435, -11460.337868
5,0.092731,0.092731,-10091.236434, -10492.809469
5,0.100443,0.100443,-10097.990372, -10436.856110
5,0.062734,0.062734,-10015.214573, -10745.648400
5,0.009468,0.009468,-10957.206191, -12007.700500
5,0.048337,0.048337,-10142.099685, -10924.496584
5,0.019106,0.019106,-10025.442446, -11366.998125
5,0.047650,0.047650,-10045.052798, -10564.275719
5,0.161558,0.161558,-10817.291374, -11010.551201
5,0.178996,0.178996,-10990.209381, -11218.406815
5,0.008645,0.008645,-11081.626096, -12484.832385
5,0.060389,0.060389,-10080.310549, -10668.205830
5,0.196116,0.196116,-11261.725962, -11375.090117
5,0.107901,0.107901,-10267.044069, -10667.336604
5,0.125262,0.125262,-10357.510466, -10626.018419
5,0.001109,0.001109,-13256.057482, -15291.304946
5,0.096982,0.096982,-10174.476536, -10575.818122
5,0.197666,0.197666,-11286.137334, -11479.023220
5,0.075037,0.075037,-9983.006977, -10538.990681
5,0.019408,0.019408,-10016.656834, -11117.542146
5,0.092382,0.092382,-10105.143948, -10750.614104
5,0.192601,0.192601,-11242.902509, -11387.827776
5,0.068366,0.068366,-10120.246397, -10551.627319
5,0.159785,0.159785,-10910.273035, -11063.652405
5,0.159769,0.159769,-10805.865033, -11028.592013
5,0.041650,0.041650,-10216.257561, -10800.795578
5,0.088674,0.088674,-10082.803111, -10514.850795
5,0.143120,0.143120,-10784.691810, -11009.584622
5,0.082104,0.082104,-10419.265460, -10582.191165
5,0.038201,0.038201,-9982.347940, -10773.774209
5,0.193499,0.193499,-11389.899759, -11496.856702
6,0.183679,0.183679,-11181.403846, -11443.252313
6,0.018259,0.018259,-10318.186561, -12218.258535
6,0.092731,0.092731,-10302.185688, -10856.378030
6,0.100443,0.100443,-10246.774961, -10783.678046
6,0.062734,0.062734,-10363.701162, -10983.824584
6,0.009468,0.009468,-11162.749961, -12682.622022
6,0.048337,0.048337,-9860.372542, -10767.004273
6,0.019106,0.019106,-10411.167736, -11687.631987
6,0.047650,0.047650,-10042.884162, -10835.332807
6,0.161558,0.161558,-11067.716235, -11204.534727
6,0.178996,0.178996,-11241.398738, -11486.749361
6,0.008645,0.008645,-11227.319684, -12487.369482
6,0.060389,0.060389,-10254.953239, -10881.042542
6,0.196116,0.196116,-11437.683771, -11613.646702
6,0.107901,0.107901,-10645.807881, -10829.508194
6,0.125262,0.125262,-10595.487370, -10956.900051
6,0.001109,0.001109,-12714.580178, -14960.299643
6,0.096982,0.096982,-10230.593106, -10629.969022
6,0.197666,0.197666,-11349.430709, -11508.021734
6,0.075037,0.075037,-10294.905521, -10801.292252
6,0.019408,0.019408,-10977.896154, -11814.457770
6,0.092382,0.092382,-10194.317905, -10618.728529
6,0.192601,0.192601,-11308.406704, -11497.670980
6,0.068366,0.068366,-9934.672403, -10563.621831
6,0.159785,0.159785,-10989.764343, -11238.382991
6,0.159769,0.159769,-10944.737631, -11099.571326
6,0.041650,0.041650,-10059.289450, -10594.950458
6,0.088674,0.088674,-10297.648465, -10719.589158
6,0.143120,0.143120,-10857.970601, -11098.395616
6,0.082104,0.082104,-10076.336194, -10636.944157
6,0.038201,0.038201,-10418.348334, -10823.600398
6,0.193499,0.193499,-11373.998419, -11518.630673
7,0.183679,0.183679,-11410.659678, -11517.404403
7,0.018259,0.018259,-11043.785340, -11791.881050
7,0.092731,0.092731,-10408.576094, -10947.480840
7,0.100443,0.100443,-10465.254443, -10992.221626
7,0.062734,0.062734,-10347.151742, -10800.092668
7,0.009468,0.009468,-13423.287971, -13820.142905
7,0.048337,0.048337,-10608.848542, -11236.129707
7,0.019106,0.019106,-11369.264030, -12255.508706
7,0.047650,0.047650,-10624.702710, -11334.831991
7,0.161558,0.161558,-11130.317878, -11395.615991
7,0.178996,0.178996,-11488.080390, -11589.792204
7,0.008645,0.008645,-11106.464515, -12443.158646
7,0.060389,0.060389,-10850.120078, -11343.484148
7,0.196116,0.196116,-11552.436354, -11675.923179
7,0.107901,0.107901,-10463.575487, -11005.879168
7,0.125262,0.125262,-10907.903914, -11064.822436
7,0.001109,0.001109,-13174.647080, -15669.650473
7,0.096982,0.096982,-10388.616357, -10909.035080
7,0.197666,0.197666,-11688.511105, -11823.860037
7,0.075037,0.075037,-10291.316026, -10921.101508
7,0.019408,0.019408,-11237.124604, -12558.733152
7,0.092382,0.092382,-10378.703778, -10904.860427
7,0.192601,0.192601,-11521.976120, -11701.164983
7,0.068366,0.068366,-10854.480940, -11370.383971
7,0.159785,0.159785,-11052.847170, -11358.661903
7,0.159769,0.159769,-11054.101230, -11233.588488
7,0.041650,0.041650,-10272.023105, -10889.651566
7,0.088674,0.088674,-10332.962456, -10682.635111
7,0.143120,0.143120,-10913.471276, -11194.429412
7,0.082104,0.082104,-10623.987153, -10995.267803
7,0.038201,0.038201,-10393.652563, -11299.023289
7,0.193499,0.193499,-11545.404989, -11744.045067
8,0.183679,0.183679,-11537.945510, -11648.078438
8,0.018259,0.018259,-11116.540039, -12332.399781
8,0.092731,0.092731,-10481.298614, -11109.880538
8,0.100443,0.100443,-10555.653655, -11066.471463
8,0.062734,0.062734,-10567.224677, -11105.730106
8,0.009468,0.009468,-11700.846739, -13151.575569
8,0.048337,0.048337,-10826.058574, -11354.813030
8,0.019106,0.019106,-12705.870120, -13066.039905
8,0.047650,0.047650,-10504.364604, -11343.207385
8,0.161558,0.161558,-11345.960600, -11504.634901
8,0.178996,0.178996,-11400.826901, -11602.936922
8,0.008645,0.008645,-12849.807635, -13380.375326
8,0.060389,0.060389,-10815.024498, -11467.427445
8,0.196116,0.196116,-11856.760219, -11970.816331
8,0.107901,0.107901,-10592.435730, -11105.546968
8,0.125262,0.125262,-10881.126371, -11220.089970
8,0.001109,0.001109,-15245.253710, -16955.167320
