"Model3","Model4","Model5","Model6","Model7","Best","Error","RepID"
-18288.4,-18129.8,-18083.8,-18093.3,-18288.1,5,0.1,15
-18397.2,-18406.2,-18286.5,-18275.4,-18384.6,6,0.1,16
-18245.2,-18177.8,-18168.7,-18076.7,-18245.3,6,0.1,17
-18349.9,-18322,-18336.9,-18349.2,-18255.4,7,0.1,18
-18197.4,-18036.9,-18010.6,-18003.9,-18008.3,6,0.1,19
-18150.1,-18038.9,-18024.3,-18030.9,-18215.3,5,0.1,20
-18250.6,-18184.6,-18099.2,-18239.1,-18161.7,5,0.1,21
-17834.7,-17798.5,-17804.2,-17816.1,-17821,4,0.1,22
-18277.7,-18217.2,-18198.4,-18151,-18154.9,6,0.1,23
-18300.5,-18253.6,-18239.8,-18238.3,-18253.9,6,0.1,24
-18283.7,-18234.6,-18208.1,-18380.1,-18364.2,5,0.1,25
-17559.5,-17503.3,-17519.9,-17489,-17670.8,6,0.1,26
-18318.2,-18258.4,-18224.1,-18238.3,-18445,5,0.1,27
-18248.4,-18240.4,-18245.1,-18126.6,-18295.3,6,0.1,28
-18295.9,-18222.7,-18147.5,-18142,-18388.4,6,0.1,29
-18172.6,-18111.5,-18099.2,-18091.6,-18181,6,0.1,30
-17510.9,-17434.3,-17421,-17444.6,-17439.8,5,0.1,31
-18373.2,-18111.1,-18094.1,-18095.3,-18112.7,5,0.1,32
-17920.1,-17862.2,-18012.2,-17857.2,-17872.9,6,0.1,33
-17974.8,-17933.7,-17922.4,-17916.4,-17917.2,6,0.1,34
-18373,-18318.5,-18296.1,-18293.4,-18282.4,7,0.1,35
-18076.5,-17877,-17864.5,-18042.4,-17881.5,5,0.1,36
-17799.8,-17949.5,-17728.5,-17935,-17751.7,5,0.1,37
-18310.5,-18196.6,-18232.6,-18320.7,-18177.9,7,0.1,38
-18170.7,-18140.5,-18068.9,-18068.8,-18079.3,6,0.1,39
-17910.4,-17861.6,-17870,-17833.8,-18135.2,6,0.1,40
-18043.5,-18008.2,-17979.6,-17983.4,-17969.4,7,0.1,41
-17955.2,-17905.4,-17884,-17886.4,-18193.2,5,0.1,42
-18586.2,-18497.8,-18487.1,-18469.4,-18495,6,0.1,43
-17708.6,-17324.9,-17319.8,-17323.9,-17335.9,5,0.1,44
-17930.2,-17869,-17896.8,-17838.4,-18156.6,6,0.1,45
-18373.9,-18255.8,-18419.3,-18297.4,-18245.2,7,0.1,46
-18420.2,-18550.9,-18314.8,-18340.8,-18332.6,5,0.1,47
-17541.2,-17510.6,-17494.4,-17483.4,-17478.9,7,0.1,48
-17424.3,-17356.7,-17338.8,-17344,-17344.7,5,0.1,49
-18240.4,-18156.4,-18208.1,-18288.4,-18156.5,4,0.1,50
-17660.1,-17552.7,-17506.8,-17555.2,-17515.9,5,0.1,51
-18439.7,-18380.1,-18441.9,-18405.8,-18334.4,7,0.1,52
-18063,-18112.4,-18078.3,-18031.5,-18078.2,6,0.1,53
-17983.5,-17943,-17911.3,-17920.7,-17933.7,5,0.1,54
-18242.9,-17996,-17973.6,-18205.8,-18204.9,5,0.1,55
-18528.6,-18478.5,-18333.4,-18342.6,-18358.3,5,0.1,56
-18340.7,-18280.9,-18265.5,-18265.8,-18400.2,5,0.1,57
-18362,-18280,-18248.9,-18242.6,-18502.2,6,0.1,58
-17694,-17668.1,-17658.2,-17659.7,-17614.4,7,0.1,59
-17962.2,-17963.9,-17946.8,-17901.2,-17909,6,0.1,60
-18325,-18261.1,-18189.2,-18283.6,-18203.6,5,0.1,61
-18172.1,-18087.9,-18068,-18214.6,-18085.6,5,0.1,62
-18054.6,-18012.5,-17978.8,-17989.9,-18004.9,5,0.1,63
-17898.9,-17834.8,-17827.2,-17834,-17848.9,5,0.1,64
-18066.6,-18044.4,-18000,-17994.9,-18192.9,6,0.1,65
-18091.8,-18062.1,-18061.6,-18013.1,-18123.9,6,0.1,66
-18075.4,-18059.8,-18048.7,-18055.6,-18006.7,7,0.1,67
-17908.8,-17843.8,-17792.9,-17794.6,-17798.8,5,0.1,68
-18258.7,-18207.8,-18187.9,-18183,-18381.9,6,0.1,69
-18099.1,-18060.4,-18055.9,-18048.6,-18075.1,6,0.1,70
-17832.7,-17799.6,-18051.6,-17762.9,-17774.6,6,0.1,71
-18571.5,-18500.1,-18469.9,-18463.5,-18566.7,6,0.1,72
-17544.7,-17494.2,-17495.5,-17475.4,-17498.1,6,0.1,73
-17765.9,-17733.2,-17712.3,-17704.5,-17712.6,6,0.1,74
-17865.5,-17821,-17957.9,-17820.3,-17833.4,6,0.1,75
-17420.3,-17391.3,-17266.7,-17273.6,-17282.4,5,0.1,76
-17961.3,-17933.8,-17913.1,-17904.4,-18066.7,6,0.1,77
-18161.7,-18179.6,-18283.9,-18099.2,-18101.4,6,0.1,78
-18002.4,-17960.7,-17955.1,-17960.9,-18025,5,0.1,79
-17657.9,-17625.1,-17615.5,-17610.5,-17618.6,6,0.1,80
-18350.3,-18253,-18227.5,-18360.7,-18236.1,5,0.1,81
-18075.3,-18024.8,-18041.6,-18182,-18093.1,4,0.1,82
-18199.2,-18122.9,-18151.2,-18155.1,-18194,4,0.1,83
-17480.2,-17450.6,-17432.8,-17430.8,-17429.6,7,0.1,84
-17478.2,-17399.3,-17381.8,-17392.5,-17395.8,5,0.1,85
-18424.2,-18367.3,-18342.6,-18339.9,-18380.2,6,0.1,86
-17677.3,-17632.6,-17588.5,-17636.5,-17634.7,5,0.1,87
-17888.8,-17852.6,-17836.7,-18143.9,-18178.7,5,0.1,88
-18158,-18115.6,-18013.8,-18027.8,-18037.9,5,0.1,89
-18329.1,-18355.6,-18236.5,-18234.7,-18253,6,0.1,90
-17827.7,-17772.1,-17740.7,-17728.9,-17762.1,6,0.1,91
-17728.2,-17691.5,-17684.5,-17699.2,-17716.1,5,0.1,92
-18070.8,-18018.8,-18062.2,-17976.5,-17998,6,0.1,93
-17962.8,-17899.4,-17886.2,-17955.5,-17874.2,7,0.1,94
-18242,-18197,-18059.3,-18061,-18068.2,5,0.1,95
-18162.5,-17989.8,-17964.3,-18114.4,-17995.3,5,0.1,96
-18432.2,-18367.5,-18350.4,-18332.3,-18348.9,6,0.1,97
-18301.8,-18260.8,-18319.3,-18324.4,-18288.9,4,0.1,98
-17828.7,-17806.5,-17815.8,-17804.3,-17808,6,0.1,99
-17985.3,-17945.9,-17861.9,-17864.3,-18021.3,5,0.1,100
